,count,mean,std,min,25%,50%,75%,max,missing_count,missing_pct
Tour_B_(TGBT_D5) kWh (-) (kWh) [ABS] ,57403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2789,4.633506113769272
Tour_B_(TGBT_D5) kWh L1 (kWh) [ABS] ,57403.0,17885.952085662204,4711.297873938204,10681.5,13932.349999999999,16466.4,22972.0,25750.9,2789,4.633506113769272
Tour_B_(TGBT_D5) kWh L2 (kWh) [ABS] ,57403.0,35188.03034451847,7185.786390446886,22242.1,29455.050000000003,34330.3,42133.399999999994,46967.6,2789,4.633506113769272
Tour_B_(TGBT_D5) kWh L3 (kWh) [ABS] ,57403.0,30426.384674672845,6693.805934285912,18628.4,24983.800000000003,29626.1,37380.95,41087.6,2789,4.633506113769272
Tour_B_(TGBT_D5) kW L1 (kW) [MIN] ,57403.0,0.80989104203597,1.3592609595387686,0.0,0.19,0.43,0.92,23.8,2789,4.633506113769272
Tour_B_(TGBT_D5) kW L1 (kW) [AVG] ,57403.0,1.0141531804113646,1.6042349505393254,0.0,0.31,0.58,1.13,24.5,2789,4.633506113769272
Tour_B_(TGBT_D5) kW L1 (kW) [MAX] ,57403.0,1.3173240878341095,2.0202126033681087,0.0,0.42,0.73,1.46,25.16,2789,4.633506113769272
Tour_B_(TGBT_D5) kW L2 (kW) [MIN] ,57403.0,1.4405303052089187,1.3625731112490473,0.0,0.89,1.02,1.36,24.61,2789,4.633506113769272
Tour_B_(TGBT_D5) kW L2 (kW) [AVG] ,57403.0,1.6462637183666837,1.6083917372763927,0.0,1.0,1.11,1.59,25.13,2789,4.633506113769272
Tour_B_(TGBT_D5) kW L2 (kW) [MAX] ,57403.0,1.932686171872557,2.02601326079701,0.0,1.12,1.22,1.9,25.92,2789,4.633506113769272
Tour_B_(TGBT_D5) kW L3 (kW) [MIN] ,57403.0,1.3534403960753778,1.2340349577136125,0.0,0.83,1.04,1.48,23.23,2789,4.633506113769272
Tour_B_(TGBT_D5) kW L3 (kW) [AVG] ,57403.0,1.497857800542235,1.460768903399268,0.0,0.9,1.13,1.58,23.82,2789,4.633506113769272
Tour_B_(TGBT_D5) kW L3 (kW) [MAX] ,57403.0,1.7385335906937573,1.8511914748396654,0.0,1.0,1.27,1.81,24.84,2789,4.633506113769272
Tour_B_(TGBT_D5) kW sys (kW) [MIN] ,57403.0,3.715086825664874,3.873799272953648,0.0,2.11,2.68,3.74,71.53,2789,4.633506113769272
Tour_B_(TGBT_D5) kW sys (kW) [MAX] ,57403.0,4.79060234642268,5.7101481003985235,0.0,2.57,3.11,4.78,74.98,2789,4.633506113769272
Tour_B_(TGBT_D5) kvarh (-) (kvarh) [ABS] ,57403.0,48074.87826378578,11320.847932013585,29134.2,38764.25,46414.0,59270.100000000006,69500.8,2789,4.633506113769272
