,count,mean,std,min,25%,50%,75%,max,missing_count,missing_pct
TOUR_A_(TGBT_D14) kW L3 (kW) [AVG] ,54627.0,0.794265315434295,0.7827979566435932,0.05,0.36,0.47,0.9,5.85,5565,9.245414673046252
TOUR_A_(TGBT_D14) kW L3 (kW) [MAX] ,54627.0,0.9171360028447446,0.8611011391901245,0.08,0.44,0.56,1.04,6.28,5565,9.245414673046252
TOUR_A_(TGBT_D14) kW sys (kW) [MIN] ,54627.0,3.3551733133825836,2.618827842616702,0.0,1.87,2.34,3.53,19.62,5565,9.245414673046252
TOUR_A_(TGBT_D14) kW sys (kW) [MAX] ,54627.0,4.01366555134113,3.0335669104140917,0.56,2.22,2.77,4.41,21.67,5565,9.245414673046252
TOUR_A_(TGBT_D14) kvarh (-) (kvarh) [ABS] ,54627.0,40693.44480448565,9153.83529897789,24763.9,33073.55,40852.2,48695.2,56604.9,5565,9.245414673046252
TOUR_A_(TGBT_D14) kvar L1 (kvar) [MIN] ,54627.0,-0.6414654418697451,0.37647782527643653,-3.16,-0.69,-0.49,-0.43,0.84,5565,9.245414673046252
TOUR_A_(TGBT_D14) kvar L1 (kvar) [AVG] ,54627.0,-0.5210445223248189,0.3435187465697561,-2.55,-0.56,-0.41,-0.35,1.05,5565,9.245414673046252
TOUR_A_(TGBT_D14) kvar L1 (kvar) [MAX] ,54627.0,-0.3468189915475022,0.4111485371105306,-2.42,-0.42,-0.3,-0.23,12.24,5565,9.245414673046252
TOUR_A_(TGBT_D14) kvar L2 (kvar) [MIN] ,54627.0,-0.9858232733887204,0.36546921156462664,-4.02,-1.09,-1.02,-0.71,0.45,5565,9.245414673046252
TOUR_A_(TGBT_D14) kvar L2 (kvar) [AVG] ,54627.0,-0.8787198704839086,0.34746243913105285,-3.34,-1.01,-0.95,-0.58,2.39,5565,9.245414673046252
TOUR_A_(TGBT_D14) kvar L2 (kvar) [MAX] ,54627.0,-0.6816458260612309,0.5381942464867336,-3.18,-0.94,-0.86,-0.42,4.05,5565,9.245414673046252
TOUR_A_(TGBT_D14) kvar L3 (kvar) [MIN] ,54627.0,-0.9020054074048949,0.30004873037828883,-3.96,-0.98,-0.83,-0.74,-0.33,5565,9.245414673046252
TOUR_A_(TGBT_D14) kvar L3 (kvar) [AVG] ,54627.0,-0.8365182128371608,0.2675278917445806,-3.42,-0.91,-0.78,-0.7,0.26,5565,9.245414673046252
TOUR_A_(TGBT_D14) kvar L3 (kvar) [MAX] ,54627.0,-0.7726330228824583,0.2731665233366582,-2.91,-0.85,-0.73,-0.66,2.72,5565,9.245414673046252
TOUR_A_(TGBT_D14) kvar sys (kvar) [MIN] ,54627.0,-2.440159297978395,0.8453540306138726,-9.7,-2.52,-2.24,-1.95,-0.08,5565,9.245414673046252
TOUR_A_(TGBT_D14) kvar sys (kvar) [MAX] ,54627.0,-1.9014556035640944,0.8491776372412672,-7.45,-2.12,-1.89,-1.5,11.27,5565,9.245414673046252
CLIM_TOUR_A_(TGBT_D6) kWh (kWh) [ABS] 564,2696.0,12109.356528189914,9.67300750801138,12078.1,12112.7,12112.7,12112.7,12112.7,57496,95.52099946836789
CLIM_TOUR_A_(TGBT_D6) kW sys (kW) [AVG] 565,2696.0,0.05122032640949555,0.3239842898720567,0.0,0.0,0.0,0.0,5.86,57496,95.52099946836789
CLIM_TOUR_A_(TGBT_D6) kvarh (kvarh) [ABS] 566,2696.0,9152.20181750742,6.912693309551626,9131.1,9154.6,9154.6,9154.6,9154.6,57496,95.52099946836789
CLIM_TOUR_A_(TGBT_D6) kvar sys (kvar) [AVG] 567,2696.0,0.03468842729970326,0.24022974337615247,-0.01,0.0,0.0,0.0,3.93,57496,95.52099946836789
CLIM_TOUR_A_(TGBT_D6) Hz (Hz) [MIN] 568,2696.0,49.93768545994064,0.05100531919596182,49.5,49.9,49.9,50.0,50.1,57496,95.52099946836789
CLIM_TOUR_A_(TGBT_D6) PF sys  [AVG] 569,2696.0,0.8431491097922849,0.5119674169456975,-1.0,1.0,1.0,1.0,1.0,57496,95.52099946836789
CLIM_TOUR_A_(TGBT_D6) A L1 (A) [MIN] 570,2696.0,0.06511498516320476,0.3814585640985867,0.0,0.0,0.0,0.0,10.42,57496,95.52099946836789
CLIM_TOUR_A_(TGBT_D6) A L1 (A) [AVG] 571,2696.0,0.09842359050445104,0.5983560658533238,0.0,0.0,0.0,0.0,10.54,57496,95.52099946836789
CLIM_TOUR_A_(TGBT_D6) A L1 (A) [MAX] 572,2696.0,0.14474777448071216,0.9877146704946952,0.0,0.0,0.0,0.0,25.99,57496,95.52099946836789
CLIM_TOUR_A_(TGBT_D6) A L2 (A) [MIN] 573,2696.0,0.06594955489614243,0.3883472276893144,0.0,0.0,0.0,0.0,10.3,57496,95.52099946836789
CLIM_TOUR_A_(TGBT_D6) A L2 (A) [AVG] 574,2696.0,0.09875,0.6023216947223549,0.0,0.0,0.0,0.0,10.38,57496,95.52099946836789
CLIM_TOUR_A_(TGBT_D6) A L2 (A) [MAX] 575,2696.0,0.13820103857566765,0.8699736577243917,0.0,0.0,0.0,0.0,10.47,57496,95.52099946836789
